Location,Area,BHK,Floor,Balconies,Property Age,Parking,Near Market,Main Road,Furnishing,Price
Tilak Nagar,912,2,4,1,26,Yes,No,No,Semi-Furnished,51.62
Limbodi,1844,3,1,1,19,Yes,No,No,Non-Furnished,70.64
Khajrana,4725,4,1,1,22,No,Yes,Yes,Non-Furnished,168.45
Bhawarkuan,2245,3,1,4,40,Yes,Yes,Yes,Non-Furnished,87.4
Khandwa Road,3864,4,4,3,36,No,Yes,Yes,Semi-Furnished,148.56
Dhar Road,1591,3,1,2,42,No,Yes,Yes,Semi-Furnished,45.42
Pipliyahana,3817,4,4,2,31,No,No,No,Non-Furnished,187.37
Ujjain Road,3321,4,4,3,25,No,Yes,Yes,Furnished,119.52
LIG Colony,2202,3,3,3,34,No,No,No,Non-Furnished,104.54
LIG Colony,1949,3,3,1,23,Yes,Yes,Yes,Semi-Furnished,109.3
Scheme No. 94,2167,3,4,2,4,No,No,No,Furnished,130.05
Pipliyahana,2824,3,1,4,18,Yes,Yes,Yes,Furnished,170.33
Silicon City,2549,3,2,1,10,No,No,No,Furnished,97.65
Vaishali Nagar,1630,3,3,3,35,Yes,No,No,Furnished,92.97
Rau-Pithampur Road,4397,4,2,1,3,Yes,Yes,Yes,Non-Furnished,189.68
Super Corridor,952,2,1,3,16,No,Yes,Yes,Non-Furnished,100.87
AB Road,4501,4,3,1,32,Yes,No,No,Non-Furnished,231.81
Chandan Nagar,3166,4,1,2,28,Yes,Yes,Yes,Non-Furnished,104.02
Vaishali Nagar,3829,4,1,1,5,No,No,No,Furnished,263.39
LIG Colony,4636,4,1,4,35,No,Yes,Yes,Semi-Furnished,236.37
CAT Road,1863,3,1,0,3,No,No,No,Semi-Furnished,90.78
Palasia,2583,3,3,0,35,Yes,Yes,Yes,Furnished,166.26
Vaishali Nagar,2871,3,2,4,24,Yes,No,No,Furnished,175.85
CAT Road,2077,3,3,2,36,Yes,Yes,Yes,Non-Furnished,76.5
Lokmanya Nagar,4769,4,2,2,29,Yes,No,No,Semi-Furnished,205.35
AB Road,1821,3,1,2,25,Yes,No,No,Furnished,108.52
Sudama Nagar,792,1,3,2,31,Yes,No,No,Non-Furnished,30.43
Dhar Road,4927,4,3,1,18,No,No,No,Furnished,189.46
Khajrana,2887,3,1,3,41,No,No,No,Semi-Furnished,83.89
Mhow Road,2809,3,4,3,1,Yes,No,No,Semi-Furnished,129.89
Ujjain Road,2028,3,2,2,9,No,No,No,Furnished,81.47
Khandwa Road,3210,4,3,2,18,Yes,Yes,Yes,Furnished,150.52
CAT Road,3267,4,2,4,20,Yes,Yes,Yes,Semi-Furnished,145.46
Scheme No. 54,1370,3,0,1,22,Yes,No,Yes,Furnished,165.76
Ring Road,838,2,1,4,31,Yes,Yes,Yes,Non-Furnished,39.95
Tilak Nagar,4844,4,4,4,36,No,Yes,Yes,Non-Furnished,239.14
Vijay Nagar,1514,3,0,3,32,Yes,Yes,No,Semi-Furnished,171.68
Bengali Square,394,1,4,3,39,No,No,Yes,Semi-Furnished,29.29
Pardesipura,2691,3,4,3,23,No,Yes,Yes,Non-Furnished,112.87
Rajendra Nagar,4835,4,2,1,5,No,Yes,Yes,Semi-Furnished,235.79
Tilak Nagar,3552,4,2,1,33,Yes,No,No,Furnished,187.28
Rau-Pithampur Road,3930,4,1,2,2,Yes,Yes,Yes,Non-Furnished,169.91
Scheme No. 94,1010,2,4,3,38,Yes,Yes,Yes,Non-Furnished,42.52
Dhar Road,2257,3,4,0,17,Yes,No,No,Semi-Furnished,85.77
Annapurna Road,1606,3,4,0,8,No,No,No,Furnished,91.48
Silicon City,1484,2,4,0,25,No,No,No,Furnished,49.11
Sudama Nagar,1325,2,3,4,6,No,No,No,Non-Furnished,62.06
Pipliyahana,3334,4,4,4,4,No,No,No,Furnished,218.6
Navlakha,2396,3,3,1,7,No,Yes,Yes,Semi-Furnished,140.3
MR-10,1933,3,3,3,41,Yes,No,No,Non-Furnished,92.29
Vijay Nagar,460,1,4,1,7,No,Yes,No,Furnished,93.9
Tilak Nagar,1588,3,1,1,22,No,No,No,Semi-Furnished,88.0
CAT Road,3495,4,3,1,43,No,No,No,Non-Furnished,113.78
Pardesipura,1762,3,1,1,39,No,No,No,Semi-Furnished,61.28
Mahalaxmi Nagar,3828,5,0,2,17,Yes,Yes,Yes,Non-Furnished,293.58
Khandwa Road,2712,3,3,3,8,No,Yes,Yes,Semi-Furnished,131.62
Rau,4475,5,1,0,25,Yes,Yes,No,Furnished,237.26
Khandwa Road,1717,3,1,4,43,No,Yes,Yes,Non-Furnished,57.14
Scheme No. 140,1166,2,3,1,13,Yes,No,No,Non-Furnished,69.89
Pardesipura,1077,2,2,3,31,Yes,No,No,Semi-Furnished,42.2
Navlakha,3551,4,3,0,26,Yes,Yes,Yes,Non-Furnished,170.68
Ring Road,761,1,4,1,5,No,Yes,Yes,Semi-Furnished,46.26
Saket Nagar,871,2,2,3,30,Yes,No,No,Furnished,45.27
Vijay Nagar,4250,5,3,4,33,No,Yes,Yes,Semi-Furnished,401.8
AB Road,4166,4,1,1,34,No,No,No,Non-Furnished,203.91
Mhow Road,4567,4,1,3,19,No,No,No,Semi-Furnished,177.4
Scheme No. 94,1551,3,2,2,34,No,No,No,Non-Furnished,63.23
Scheme No. 54,1876,3,0,0,2,Yes,No,Yes,Non-Furnished,189.99
Navlakha,2761,3,3,3,31,Yes,Yes,Yes,Furnished,137.0
Navlakha,4877,4,3,0,13,Yes,No,No,Semi-Furnished,260.43
Vijay Nagar,3412,5,2,3,20,No,No,Yes,Furnished,349.34
Khajrana,1737,3,3,2,1,Yes,Yes,Yes,Furnished,84.8
Rajendra Nagar,3986,4,2,1,22,Yes,No,No,Furnished,167.84
Annapurna Road,892,2,2,0,21,Yes,Yes,Yes,Semi-Furnished,46.23
Pardesipura,2351,3,2,3,13,Yes,No,No,Semi-Furnished,108.39
Bengali Square,351,1,4,1,29,Yes,Yes,Yes,Non-Furnished,32.48
CAT Road,629,1,1,1,28,No,No,No,Non-Furnished,23.53
Tilak Nagar,2304,3,3,1,3,No,Yes,Yes,Furnished,159.02
Gandhi Nagar,2185,3,3,2,19,Yes,Yes,Yes,Semi-Furnished,103.05
Mhow Road,3218,4,4,2,25,No,Yes,Yes,Semi-Furnished,124.72
Mahu Naka,3104,4,2,1,35,No,Yes,Yes,Semi-Furnished,144.87
MR-10,2561,3,3,3,25,Yes,Yes,Yes,Furnished,156.09
AB Road,505,1,4,4,19,Yes,Yes,Yes,Furnished,35.61
Nipania,1153,2,2,1,18,No,Yes,No,Furnished,96.6
Tilak Nagar,1005,2,4,4,5,No,No,No,Furnished,66.92
Lokmanya Nagar,4564,4,3,0,1,Yes,Yes,Yes,Semi-Furnished,246.3
Navlakha,2433,3,3,3,40,Yes,Yes,Yes,Furnished,110.26
Pipliyahana,4326,4,1,0,27,Yes,Yes,Yes,Non-Furnished,223.41
Chandan Nagar,3412,4,3,2,34,Yes,No,No,Furnished,112.06
Indore Bypass,1137,2,3,3,22,No,Yes,Yes,Furnished,61.1
Vijay Nagar,2747,4,4,3,11,Yes,Yes,No,Furnished,291.39
Chandan Nagar,1942,3,4,2,23,Yes,Yes,Yes,Non-Furnished,69.08
Annapurna Road,2281,3,4,1,18,Yes,No,No,Non-Furnished,111.65
Sudama Nagar,1220,2,3,1,43,No,No,No,Non-Furnished,39.38
Mahalaxmi Nagar,365,1,2,1,19,No,Yes,Yes,Furnished,31.33
Navlakha,2575,3,2,0,4,Yes,No,No,Furnished,153.11
Dhar Road,593,1,2,4,25,Yes,No,No,Furnished,21.81
Lokmanya Nagar,4495,4,4,0,22,No,Yes,Yes,Furnished,220.05
Dhar Road,4528,4,4,4,41,Yes,Yes,Yes,Semi-Furnished,134.25
Khandwa Road,2575,3,3,2,39,Yes,No,No,Non-Furnished,88.27
Mahalaxmi Nagar,1037,2,4,1,42,No,No,Yes,Semi-Furnished,71.06
Khajrana,2101,3,4,1,19,No,Yes,Yes,Furnished,86.15
Mahalaxmi Nagar,4327,5,1,0,9,No,Yes,Yes,Furnished,382.54
Khajrana,1257,2,1,0,13,No,Yes,Yes,Non-Furnished,49.03
Vijay Nagar,3231,5,3,3,44,Yes,No,Yes,Unfurnished,318.57
Tilak Nagar,4213,4,1,0,9,Yes,No,No,Semi-Furnished,260.44
Pardesipura,2296,3,4,1,15,No,No,No,Furnished,108.3
Bengali Square,3844,5,3,2,28,No,Yes,No,Non-Furnished,365.03
Gandhi Nagar,2039,3,2,3,18,No,No,No,Furnished,95.52
Rau-Pithampur Road,517,1,1,4,13,No,Yes,Yes,Non-Furnished,20.18
Pardesipura,1231,2,3,4,9,No,No,No,Semi-Furnished,58.55
Scheme No. 140,1671,3,4,3,23,Yes,Yes,Yes,Non-Furnished,95.19
Khandwa Road,4679,4,2,0,42,No,No,No,Non-Furnished,152.76
Saket Nagar,1049,2,2,4,19,No,No,No,Semi-Furnished,56.14
Gandhi Nagar,2296,3,4,1,15,No,No,No,Furnished,111.79
Palasia,3535,4,4,4,32,Yes,Yes,Yes,Furnished,235.06
CAT Road,2153,3,4,3,28,No,Yes,Yes,Semi-Furnished,89.64
Khajrana,1579,3,3,2,33,No,No,No,Non-Furnished,48.91
Vaishali Nagar,2326,3,4,3,8,Yes,No,No,Semi-Furnished,158.71
Silicon City,1004,2,3,1,28,Yes,Yes,Yes,Semi-Furnished,32.36
Dhar Road,4410,4,2,2,9,No,Yes,Yes,Semi-Furnished,182.05
Rau-Pithampur Road,548,1,1,3,27,No,Yes,Yes,Non-Furnished,18.65
Sudama Nagar,4199,4,1,4,44,Yes,Yes,Yes,Non-Furnished,136.75
Gandhi Nagar,4628,4,1,2,40,No,Yes,Yes,Semi-Furnished,176.6
Navlakha,873,2,1,3,22,No,Yes,Yes,Non-Furnished,42.57
Scheme No. 140,4611,4,3,3,12,Yes,Yes,Yes,Non-Furnished,280.21
Tilak Nagar,1604,3,3,2,11,Yes,No,No,Non-Furnished,95.86
Rau,4314,5,0,0,27,Yes,Yes,No,Furnished,232.33
Ring Road,3088,4,1,2,14,No,Yes,Yes,Furnished,176.87
Scheme No. 54,3761,5,0,4,12,Yes,No,No,Non-Furnished,405.02
Dhar Road,1515,3,2,4,37,Yes,Yes,Yes,Semi-Furnished,47.07
Khandwa Road,1172,2,3,3,11,Yes,No,No,Semi-Furnished,54.74
Ring Road,1771,3,1,2,44,No,Yes,Yes,Furnished,77.82
Indore Bypass,1766,3,2,3,9,Yes,Yes,Yes,Semi-Furnished,101.17
Khajrana,1676,3,3,2,14,No,No,No,Furnished,69.47
Bengali Square,4664,5,1,3,22,No,No,No,Furnished,433.92
Palasia,2737,3,3,4,13,Yes,Yes,Yes,Furnished,211.92
Lokmanya Nagar,2093,3,3,1,8,Yes,No,No,Semi-Furnished,105.16
Rajendra Nagar,4277,4,4,4,4,Yes,Yes,Yes,Non-Furnished,205.68
Bengali Square,3863,5,0,2,14,No,No,No,Non-Furnished,380.49
Scheme No. 140,4849,4,3,4,24,No,No,No,Semi-Furnished,269.5
MR-10,1701,3,2,1,27,Yes,No,No,Furnished,98.41
CAT Road,3349,4,4,2,3,Yes,Yes,Yes,Non-Furnished,165.56
Bhawarkuan,1662,3,1,1,8,Yes,Yes,Yes,Furnished,94.29
Mhow Road,3874,4,2,2,34,No,No,No,Non-Furnished,125.84
Pardesipura,1661,3,3,2,19,Yes,Yes,Yes,Semi-Furnished,76.11
Vaishali Nagar,553,1,3,0,28,No,Yes,Yes,Semi-Furnished,32.93
Indore Bypass,2304,3,1,4,5,No,Yes,Yes,Non-Furnished,126.39
Gandhi Nagar,2126,3,2,4,34,Yes,Yes,Yes,Furnished,91.06
AB Road,3558,4,2,4,17,No,Yes,Yes,Furnished,232.52
Mahalaxmi Nagar,1097,2,1,3,44,Yes,No,Yes,Semi-Furnished,76.49
Scheme No. 54,4266,5,1,0,25,No,No,No,Semi-Furnished,436.9
AB Road,1410,2,3,3,11,Yes,No,No,Semi-Furnished,94.09
Tilak Nagar,4863,4,3,0,38,No,No,No,Non-Furnished,226.66
Annapurna Road,2669,3,4,2,20,No,No,No,Non-Furnished,126.59
Scheme No. 140,3729,4,4,1,33,Yes,Yes,Yes,Furnished,208.1
AB Road,1454,2,3,4,11,Yes,No,No,Furnished,100.27
Rau,2075,3,4,2,25,No,Yes,No,Non-Furnished,132.45
Silicon City,3103,4,4,0,2,Yes,No,No,Furnished,131.1
Rau,4542,5,1,2,16,Yes,No,No,Non-Furnished,301.0
Sudama Nagar,2767,3,2,2,31,Yes,No,No,Semi-Furnished,107.87
Khandwa Road,4047,4,3,2,36,No,No,No,Semi-Furnished,149.0
Khajrana,2591,3,2,1,35,Yes,Yes,Yes,Semi-Furnished,85.39
Khajrana,4884,4,2,4,40,Yes,No,No,Semi-Furnished,145.69
Palasia,1559,3,1,1,12,No,No,No,Semi-Furnished,109.67
Chandan Nagar,4428,4,1,4,2,Yes,Yes,Yes,Semi-Furnished,195.99
AB Road,4352,4,4,2,15,Yes,No,No,Furnished,287.71
Rajendra Nagar,528,1,2,2,41,No,Yes,Yes,Furnished,18.66
Scheme No. 54,2192,3,1,1,43,Yes,Yes,Yes,Non-Furnished,233.15
Mhow Road,3571,4,1,0,38,Yes,No,No,Non-Furnished,111.34
AB Road,1915,3,4,2,30,No,No,No,Semi-Furnished,105.82
Ring Road,4319,4,1,0,7,No,No,No,Semi-Furnished,244.39
Scheme No. 54,1100,2,3,4,34,Yes,Yes,Yes,Semi-Furnished,110.36
Saket Nagar,564,1,4,0,23,No,No,No,Semi-Furnished,29.65
Saket Nagar,3760,4,4,0,18,Yes,Yes,Yes,Furnished,221.01
LIG Colony,3734,4,4,0,19,No,No,No,Semi-Furnished,202.76
Sudama Nagar,891,2,2,1,37,No,Yes,Yes,Semi-Furnished,33.12
Gandhi Nagar,4272,4,4,0,9,No,No,No,Furnished,217.76
Saket Nagar,2447,3,4,4,2,No,No,No,Semi-Furnished,151.94
Pipliyahana,3571,4,1,0,38,Yes,No,No,Non-Furnished,161.98
Scheme No. 140,3135,4,1,2,43,Yes,No,No,Non-Furnished,138.93
Navlakha,4632,4,1,2,29,Yes,Yes,Yes,Non-Furnished,213.08
Annapurna Road,3169,4,3,3,44,No,Yes,Yes,Furnished,131.53
Gandhi Nagar,1512,3,1,2,20,Yes,No,No,Furnished,70.3
Palasia,4818,4,2,4,22,No,No,No,Non-Furnished,300.0
Rau-Pithampur Road,1504,3,3,2,11,Yes,Yes,Yes,Semi-Furnished,63.99
Khajrana,3308,4,1,3,44,No,Yes,Yes,Semi-Furnished,95.46
Pardesipura,1512,3,1,2,20,Yes,No,No,Furnished,67.83
Khajrana,1050,2,4,0,30,No,Yes,Yes,Semi-Furnished,36.88
Rau,4060,5,3,0,8,No,No,Yes,Furnished,260.66
Rau-Pithampur Road,1926,3,2,3,16,Yes,Yes,Yes,Furnished,80.85
Chandan Nagar,1074,2,4,3,15,Yes,No,No,Furnished,44.16
Nipania,517,1,3,2,12,No,Yes,No,Furnished,47.83
Pardesipura,2600,3,3,4,25,Yes,No,No,Non-Furnished,103.06
Tilak Nagar,1260,2,3,4,34,No,No,No,Non-Furnished,60.97
Rajendra Nagar,2945,3,3,1,42,Yes,No,No,Semi-Furnished,97.4
Rau,1355,3,1,2,5,No,No,Yes,Furnished,78.83
Ujjain Road,3061,4,2,0,5,No,No,No,Furnished,127.49
Lokmanya Nagar,4199,4,1,4,44,Yes,Yes,Yes,Non-Furnished,158.89
Khandwa Road,3643,4,4,2,11,No,Yes,Yes,Non-Furnished,165.71
MR-10,1584,3,1,1,41,Yes,No,No,Semi-Furnished,78.63
Saket Nagar,4284,4,2,3,11,No,Yes,Yes,Furnished,260.35
Mhow Road,4763,4,3,4,32,No,Yes,Yes,Non-Furnished,164.34
Tilak Nagar,2726,3,3,2,19,Yes,No,No,Non-Furnished,151.81
Annapurna Road,3910,4,4,3,11,No,No,No,Furnished,217.4
Tilak Nagar,4642,4,1,0,9,Yes,No,No,Semi-Furnished,286.77
Sudama Nagar,3283,4,1,2,4,No,Yes,Yes,Furnished,172.88
Ujjain Road,4162,4,1,1,4,No,Yes,Yes,Non-Furnished,164.24
CAT Road,2257,3,4,0,17,Yes,No,No,Semi-Furnished,101.32
Vaishali Nagar,3531,4,2,1,32,No,Yes,Yes,Semi-Furnished,201.91
Nipania,3801,5,4,3,38,Yes,No,Yes,Furnished,258.34
Khajrana,3041,4,2,2,12,Yes,Yes,Yes,Non-Furnished,121.78
Mhow Road,2590,3,3,2,36,No,No,No,Semi-Furnished,86.78
Rau-Pithampur Road,3936,4,3,0,44,No,Yes,Yes,Non-Furnished,111.45
Mahalaxmi Nagar,1696,3,2,2,19,No,No,No,Semi-Furnished,163.07
Annapurna Road,3528,4,1,2,3,Yes,Yes,Yes,Furnished,212.3
Vijay Nagar,1023,2,2,2,28,Yes,Yes,Yes,Furnished,141.41
Rajendra Nagar,4071,4,4,2,26,No,No,No,Semi-Furnished,160.57
Chandan Nagar,4843,4,3,3,5,Yes,Yes,Yes,Non-Furnished,202.21
AB Road,4535,4,3,2,17,No,No,No,Non-Furnished,265.5
Chandan Nagar,1874,3,2,0,6,No,No,No,Furnished,81.1
Saket Nagar,1870,3,1,4,20,No,Yes,Yes,Non-Furnished,96.84
Vaishali Nagar,2950,3,3,4,30,No,No,No,Non-Furnished,158.63
AB Road,4767,4,3,0,37,No,Yes,Yes,Non-Furnished,239.71
Super Corridor,4776,5,3,0,27,No,No,Yes,Semi-Furnished,400.68
Mahu Naka,1288,2,4,4,29,No,No,No,Furnished,63.11
Scheme No. 94,3139,4,4,3,44,No,No,No,Furnished,126.11
Scheme No. 94,1265,2,3,1,13,Yes,Yes,Yes,Furnished,73.2
Sudama Nagar,2667,3,4,4,24,Yes,Yes,Yes,Semi-Furnished,116.72
Bhawarkuan,4894,4,3,3,23,No,No,No,Furnished,234.28
Limbodi,3457,4,4,4,32,Yes,No,No,Furnished,129.53
Super Corridor,2071,3,0,3,35,No,Yes,No,Furnished,222.77
Annapurna Road,4466,4,3,3,4,Yes,No,No,Non-Furnished,241.52
Vaishali Nagar,1347,2,4,0,42,No,Yes,Yes,Semi-Furnished,71.88
Chandan Nagar,4798,4,2,2,13,Yes,No,No,Semi-Furnished,186.97
Vaishali Nagar,2552,3,4,3,18,Yes,No,No,Non-Furnished,154.09
Palasia,1089,2,3,3,21,No,Yes,Yes,Non-Furnished,71.9
MR-10,4304,4,2,1,16,No,Yes,Yes,Non-Furnished,253.36
Mhow Road,1899,3,1,3,20,Yes,Yes,Yes,Non-Furnished,73.25
Gandhi Nagar,4670,4,4,0,30,Yes,No,No,Semi-Furnished,193.61
Gandhi Nagar,4749,4,1,3,20,No,Yes,Yes,Furnished,225.44
Rajendra Nagar,1635,3,1,4,41,No,No,No,Non-Furnished,50.98
Palasia,700,1,4,0,3,Yes,Yes,Yes,Semi-Furnished,59.76
Bhawarkuan,3888,4,2,2,34,No,No,No,Furnished,166.26
Vaishali Nagar,1581,3,3,1,15,No,Yes,Yes,Non-Furnished,98.88
Scheme No. 54,1143,2,1,4,7,No,Yes,Yes,Non-Furnished,116.22
Nipania,1116,2,1,3,6,Yes,Yes,Yes,Non-Furnished,87.82
Ujjain Road,1118,2,1,1,22,No,Yes,Yes,Semi-Furnished,39.13
Dhar Road,4025,4,3,4,13,No,Yes,Yes,Non-Furnished,154.67
Ring Road,2878,3,2,2,18,No,Yes,Yes,Furnished,160.98
Scheme No. 94,726,1,3,1,38,Yes,Yes,Yes,Semi-Furnished,31.96
Vijay Nagar,1957,3,4,3,34,Yes,Yes,Yes,Unfurnished,204.89
Silicon City,4191,4,1,1,37,Yes,No,No,Furnished,117.51
Scheme No. 54,4424,5,4,3,17,Yes,Yes,Yes,Furnished,480.3
AB Road,794,1,2,3,35,No,Yes,Yes,Furnished,43.86
Limbodi,3540,4,4,2,21,Yes,Yes,Yes,Furnished,152.52
Rajendra Nagar,4855,4,2,3,8,Yes,Yes,Yes,Semi-Furnished,231.97
Silicon City,1439,2,2,1,28,No,Yes,Yes,Semi-Furnished,44.99
Nipania,3392,4,0,0,36,No,Yes,No,Non-Furnished,222.95
Scheme No. 140,2263,3,3,1,35,No,No,No,Non-Furnished,109.01
Bengali Square,1136,2,4,3,34,No,Yes,No,Furnished,94.09
Scheme No. 94,2778,3,2,3,22,Yes,Yes,Yes,Semi-Furnished,138.99
Ring Road,4232,4,4,0,23,No,No,No,Furnished,223.69
Dhar Road,2682,3,2,0,43,Yes,Yes,Yes,Furnished,79.56
Limbodi,4086,4,4,0,44,Yes,Yes,Yes,Non-Furnished,126.89
AB Road,4157,4,3,2,2,Yes,No,No,Semi-Furnished,292.04
Dhar Road,4331,4,1,4,20,No,No,No,Non-Furnished,148.46
Bengali Square,4886,5,3,0,26,No,No,No,Non-Furnished,416.59
Scheme No. 94,2781,3,2,4,9,No,No,No,Non-Furnished,144.52
LIG Colony,2889,3,2,1,35,Yes,Yes,Yes,Furnished,154.73
Mahu Naka,679,1,1,0,8,Yes,Yes,Yes,Furnished,39.93
Mahu Naka,1238,2,3,0,24,Yes,No,No,Furnished,63.38
Scheme No. 94,1823,3,4,4,1,No,Yes,Yes,Furnished,114.83
Sudama Nagar,3800,4,3,4,37,No,No,No,Non-Furnished,131.62
Lokmanya Nagar,1933,3,2,4,16,Yes,Yes,Yes,Non-Furnished,90.99
Rau-Pithampur Road,4772,4,2,3,42,No,Yes,Yes,Non-Furnished,137.66
Navlakha,3873,4,1,3,37,No,No,No,Non-Furnished,155.02
Ujjain Road,4916,4,4,0,11,No,Yes,Yes,Furnished,203.66
Vaishali Nagar,4407,4,1,3,8,No,Yes,Yes,Non-Furnished,284.51
Rau,1419,3,2,3,38,Yes,No,No,Semi-Furnished,88.81
Tilak Nagar,3734,4,3,3,31,No,No,No,Non-Furnished,185.66
Bengali Square,448,1,1,3,11,Yes,Yes,Yes,Furnished,53.92
Ujjain Road,3998,4,1,0,9,No,No,No,Semi-Furnished,153.41
Saket Nagar,3361,4,2,3,19,Yes,Yes,Yes,Semi-Furnished,187.4
CAT Road,3446,4,2,1,44,Yes,No,No,Non-Furnished,110.97
Mahalaxmi Nagar,2038,3,2,4,35,No,No,No,Semi-Furnished,173.47
Limbodi,3472,4,2,1,18,No,Yes,Yes,Non-Furnished,138.18
Khandwa Road,509,1,2,3,22,No,Yes,Yes,Non-Furnished,20.82
AB Road,1371,2,1,3,41,No,No,No,Semi-Furnished,65.7
Pipliyahana,3795,4,1,2,19,Yes,No,No,Non-Furnished,202.01
Nipania,3649,5,2,4,25,Yes,No,Yes,Semi-Furnished,320.45
Vijay Nagar,3855,5,1,4,39,No,Yes,No,Furnished,371.75
Sudama Nagar,2487,3,2,0,25,No,Yes,Yes,Furnished,109.03
Chandan Nagar,2964,3,4,2,9,Yes,Yes,Yes,Semi-Furnished,126.02
Scheme No. 140,706,1,4,4,43,No,Yes,Yes,Semi-Furnished,34.25
Dhar Road,1855,3,3,3,13,No,Yes,Yes,Semi-Furnished,74.25
Mahu Naka,3197,4,1,2,44,Yes,Yes,Yes,Semi-Furnished,140.04
Indore Bypass,1426,2,2,2,17,No,No,No,Semi-Furnished,73.32
Mahalaxmi Nagar,4465,5,4,1,4,No,Yes,No,Non-Furnished,369.4
Annapurna Road,1850,3,4,3,37,No,Yes,Yes,Semi-Furnished,80.73
Bengali Square,1611,3,4,2,1,No,No,No,Furnished,158.11
Annapurna Road,3517,4,1,1,9,No,Yes,Yes,Non-Furnished,184.48
Mahalaxmi Nagar,2179,3,2,3,22,Yes,No,Yes,Semi-Furnished,197.4
LIG Colony,1415,2,1,4,31,No,Yes,Yes,Furnished,76.52
Bengali Square,1754,3,3,0,8,No,No,Yes,Non-Furnished,176.75
Vijay Nagar,2004,4,1,3,22,No,Yes,No,Semi-Furnished,223.48
Pipliyahana,649,1,3,3,29,No,Yes,Yes,Furnished,35.98
Dhar Road,1295,2,2,0,37,Yes,No,No,Non-Furnished,37.58
Chandan Nagar,4524,4,4,2,29,No,No,No,Semi-Furnished,150.67
AB Road,685,1,1,4,39,No,Yes,Yes,Furnished,35.96
Dhar Road,2372,3,2,3,16,Yes,Yes,Yes,Non-Furnished,88.74
Navlakha,4467,4,4,0,25,No,Yes,Yes,Non-Furnished,216.31
Limbodi,2555,3,3,1,40,No,No,No,Furnished,86.57
Mahalaxmi Nagar,4446,5,2,3,34,No,No,No,Semi-Furnished,355.9
Scheme No. 94,4051,4,4,1,28,No,No,No,Furnished,194.9
Khajrana,636,1,2,0,34,No,No,No,Furnished,21.12
Palasia,4969,4,1,2,35,Yes,No,No,Semi-Furnished,290.76
Gandhi Nagar,4701,4,1,2,11,Yes,Yes,Yes,Furnished,240.71
Rau,523,1,3,3,8,Yes,Yes,No,Semi-Furnished,37.21
Saket Nagar,1066,2,3,4,32,Yes,Yes,Yes,Semi-Furnished,54.45
Bengali Square,1499,3,4,4,20,No,Yes,No,Semi-Furnished,135.14
Rau-Pithampur Road,1070,2,4,1,31,No,No,No,Furnished,37.51
Mahalaxmi Nagar,2229,4,2,2,26,No,No,Yes,Semi-Furnished,183.95
Mahu Naka,3034,4,4,4,44,Yes,No,No,Furnished,135.14
Nipania,4452,5,2,3,30,Yes,No,Yes,Furnished,349.28
Chandan Nagar,1562,3,1,2,6,Yes,Yes,Yes,Furnished,70.32
Mhow Road,4509,4,4,4,32,Yes,Yes,Yes,Non-Furnished,157.44
Silicon City,1415,2,1,4,31,No,Yes,Yes,Furnished,43.87
CAT Road,2174,3,1,2,4,Yes,No,No,Non-Furnished,101.06
Sudama Nagar,2775,3,2,3,8,Yes,Yes,Yes,Non-Furnished,132.05
Tilak Nagar,2789,3,4,3,37,Yes,No,No,Semi-Furnished,139.95
Ring Road,4221,4,3,4,17,No,Yes,Yes,Non-Furnished,221.26
Chandan Nagar,770,1,3,1,41,No,No,No,Semi-Furnished,22.02
LIG Colony,3155,4,3,0,22,No,No,No,Semi-Furnished,167.35
CAT Road,2758,3,4,0,31,No,No,No,Semi-Furnished,107.74
Bhawarkuan,3749,4,2,1,14,No,No,No,Semi-Furnished,185.89
Limbodi,1347,2,4,4,28,No,Yes,Yes,Furnished,53.9
Mahalaxmi Nagar,4226,5,1,3,42,Yes,Yes,No,Furnished,320.7
Ujjain Road,4155,4,2,1,27,Yes,No,No,Semi-Furnished,134.99
Vijay Nagar,4523,5,3,3,33,No,Yes,No,Unfurnished,408.41
LIG Colony,4260,4,2,0,6,No,Yes,Yes,Semi-Furnished,257.02
MR-10,1548,3,4,4,21,No,No,No,Furnished,93.44
Bhawarkuan,3092,4,2,4,26,No,Yes,Yes,Non-Furnished,137.89
Super Corridor,3032,4,4,2,13,No,Yes,Yes,Non-Furnished,269.83
Gandhi Nagar,783,1,3,4,11,Yes,Yes,Yes,Non-Furnished,38.2
Sudama Nagar,4161,4,3,1,13,Yes,Yes,Yes,Non-Furnished,190.37
Ring Road,3773,4,2,3,2,Yes,Yes,Yes,Furnished,240.06
MR-10,4116,4,2,1,8,No,No,No,Semi-Furnished,260.26
Tilak Nagar,2458,3,4,2,28,Yes,No,No,Semi-Furnished,134.02
Sudama Nagar,2088,3,2,2,6,No,Yes,Yes,Semi-Furnished,104.95
MR-10,1492,2,4,4,20,No,No,No,Non-Furnished,83.59
Nipania,800,2,1,2,30,Yes,Yes,Yes,Non-Furnished,65.46
Ring Road,2998,3,1,1,17,Yes,No,No,Non-Furnished,150.99
Mahalaxmi Nagar,2968,4,4,0,9,Yes,No,No,Furnished,244.51
Bengali Square,4582,5,2,4,25,No,Yes,No,Furnished,369.89
Ujjain Road,4406,4,4,2,5,Yes,Yes,Yes,Furnished,193.85
Navlakha,1744,3,1,0,1,Yes,Yes,Yes,Furnished,111.18
